IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
141.101.68.179,4,4,0.00,0.28,0.00,N/A
198.41.146.215,4,4,0.00,0.43,0.00,N/A
108.162.220.137,4,4,0.00,0.62,0.00,N/A
108.162.218.5,4,4,0.00,0.72,0.00,N/A
108.162.224.144,4,4,0.00,0.74,0.00,N/A
103.21.246.44,4,4,0.00,1.08,0.00,N/A
103.22.202.96,4,4,0.00,1.15,0.00,N/A
108.162.217.60,4,4,0.00,1.35,0.00,N/A
108.162.219.116,4,4,0.00,1.38,0.00,N/A
108.162.222.56,4,4,0.00,1.53,0.00,N/A
108.162.223.207,4,4,0.00,1.54,0.00,N/A
103.21.247.111,4,4,0.00,1.93,0.00,N/A
141.101.69.31,4,4,0.00,1.99,0.00,N/A
173.245.63.203,4,4,0.00,2.02,0.00,N/A
108.162.225.97,4,4,0.00,2.34,0.00,N/A
198.41.136.234,4,4,0.00,2.51,0.00,N/A
103.22.201.51,4,4,0.00,2.64,0.00,N/A
103.22.203.252,4,4,0.00,2.66,0.00,N/A
103.21.244.234,4,4,0.00,2.79,0.00,N/A
103.31.6.0,4,4,0.00,2.95,0.00,N/A
108.162.216.165,4,4,0.00,2.96,0.00,N/A
141.101.71.59,4,4,0.00,2.97,0.00,N/A
198.41.138.162,4,4,0.00,3.01,0.00,N/A
103.21.245.53,4,4,0.00,3.04,0.00,N/A
173.245.61.70,4,4,0.00,3.30,0.00,N/A
173.245.62.208,4,4,0.00,3.38,0.00,N/A
103.31.7.221,4,4,0.00,3.43,0.00,N/A
173.245.56.75,4,4,0.00,3.43,0.00,N/A
141.101.67.110,4,4,0.00,3.58,0.00,N/A
141.101.65.141,4,4,0.00,3.72,0.00,N/A
103.31.4.133,4,4,0.00,4.09,0.00,N/A
173.245.54.122,4,4,0.00,4.11,0.00,N/A
173.245.58.168,4,4,0.00,4.32,0.00,N/A
173.245.51.222,4,4,0.00,4.44,0.00,N/A
173.245.49.12,4,4,0.00,4.53,0.00,N/A
198.41.135.251,4,4,0.00,4.66,0.00,N/A
173.245.60.132,4,4,0.00,4.84,0.00,N/A
173.245.57.152,4,4,0.00,4.95,0.00,N/A
173.245.52.43,4,4,0.00,5.46,0.00,N/A
173.245.53.220,4,4,0.00,5.51,0.00,N/A
104.27.250.245,4,4,0.00,6.26,0.00,N/A
104.27.225.218,4,4,0.00,6.27,0.00,N/A
104.27.248.72,4,4,0.00,6.29,0.00,N/A
104.26.217.13,4,4,0.00,6.29,0.00,N/A
104.26.206.250,4,4,0.00,6.31,0.00,N/A
104.27.254.150,4,4,0.00,6.32,0.00,N/A
104.28.3.174,4,4,0.00,6.33,0.00,N/A
104.26.223.21,4,4,0.00,6.33,0.00,N/A
104.26.222.104,4,4,0.00,6.33,0.00,N/A
104.27.142.156,4,4,0.00,6.33,0.00,N/A
104.26.233.160,4,4,0.00,6.34,0.00,N/A
104.27.24.110,4,4,0.00,6.34,0.00,N/A
104.27.218.157,4,4,0.00,6.34,0.00,N/A
104.27.217.228,4,4,0.00,6.34,0.00,N/A
104.27.213.205,4,4,0.00,6.34,0.00,N/A
104.26.239.77,4,4,0.00,6.34,0.00,N/A
104.26.157.162,4,4,0.00,6.34,0.00,N/A
104.27.202.111,4,4,0.00,6.34,0.00,N/A
104.28.2.148,4,4,0.00,6.34,0.00,N/A
104.26.240.189,4,4,0.00,6.34,0.00,N/A
104.27.212.14,4,4,0.00,6.35,0.00,N/A
104.26.196.202,4,4,0.00,6.35,0.00,N/A
104.27.249.140,4,4,0.00,6.35,0.00,N/A
104.27.222.222,4,4,0.00,6.35,0.00,N/A
104.27.143.246,4,4,0.00,6.35,0.00,N/A
104.27.228.243,4,4,0.00,6.35,0.00,N/A
104.26.238.196,4,4,0.00,6.36,0.00,N/A
104.27.146.103,4,4,0.00,6.36,0.00,N/A
104.26.124.214,4,4,0.00,6.36,0.00,N/A
104.26.133.129,4,4,0.00,6.36,0.00,N/A
104.26.224.96,4,4,0.00,6.36,0.00,N/A
104.27.223.164,4,4,0.00,6.36,0.00,N/A
104.27.209.76,4,4,0.00,6.36,0.00,N/A
104.27.255.195,4,4,0.00,6.36,0.00,N/A
104.27.113.76,4,4,0.00,6.36,0.00,N/A
104.26.230.3,4,4,0.00,6.36,0.00,N/A
104.27.253.208,4,4,0.00,6.36,0.00,N/A
104.26.135.146,4,4,0.00,6.37,0.00,N/A
104.27.201.242,4,4,0.00,6.37,0.00,N/A
104.26.152.126,4,4,0.00,6.37,0.00,N/A
104.27.133.61,4,4,0.00,6.37,0.00,N/A
104.27.110.35,4,4,0.00,6.37,0.00,N/A
104.27.206.67,4,4,0.00,6.37,0.00,N/A
